iter	RMSE
876	36865.64141
877	36855.50132
878	36841.46607
879	36822.53134
880	36815.91546
881	36807.69921
882	36799.8328
883	36787.01212
884	36779.13045
885	36768.0687
886	36756.67556
887	36747.34011
888	36745.21318
889	36743.47387
890	36733.5802
891	36723.71813
892	36717.10963
893	36706.21781
894	36699.26829
895	36691.84964
896	36678.88206
897	36671.14104
898	36661.91086
899	36652.70161
900	36644.25597
901	36637.81547
902	36634.02308
903	36625.53316
904	36619.25316
905	36612.7643
906	36601.6437
907	36592.87023
908	36582.44377
909	36576.99687
910	36565.99016
911	36560.54026
912	36554.06442
913	36544.92584
914	36541.95735
915	36539.14589
916	36530.55607
917	36521.79732
918	36513.72657
919	36506.82939
920	36491.85367
921	36477.75475
922	36468.28529
923	36456.90259
924	36449.10891
925	36440.35881
926	36430.97665
927	36416.81506
928	36406.91621
929	36401.96315
930	36393.00956
931	36385.14702
932	36375.08862
933	36364.68698
934	36357.8138
935	36351.52608
936	36342.08972
937	36337.12207
938	36326.67276
939	36320.65212
940	36309.22107
941	36303.44411
942	36294.66209
943	36288.44143
944	36280.02108
945	36276.40996
946	36264.6176
947	36256.87633
948	36251.07673
949	36240.54861
950	36233.33491
951	36224.45257
952	36218.25127
953	36206.46895
954	36197.32609
955	36189.79614
956	36182.00942
957	36174.5845
958	36168.67028
959	36158.57116
960	36149.06854
961	36138.54856
962	36136.2754
963	36123.17162
964	36113.29373
965	36103.5089
966	36099.23762
967	36088.25103
968	36081.27936
969	36073.78241
970	36063.94221
971	36055.62782
972	36043.88212
973	36039.20425
974	36031.26792
975	36020.83529
976	36012.68111
977	36001.85187
978	35991.6083
979	35983.8173
980	35973.32183
981	35962.38407
982	35953.22465
983	35947.78464
984	35941.37473
985	35936.2076
986	35931.26882
987	35923.56188
988	35918.53379
989	35908.83002
990	35899.15693
991	35894.64288
992	35887.9628
993	35880.86582
994	35871.23679
995	35861.75708
996	35849.725
997	35840.21821
998	35829.76933
999	35823.63175
